state,unempt_rate,year,month
North Dakota,6.1,2020,M06
Ohio,10.9,2020,M06
Oklahoma,6.6,2020,M06
Oregon,11.2,2020,M06
Pennsylvania,13.0,2020,M06
Puerto Rico,-,2020,M06
Rhode Island,12.4,2020,M06
South Carolina,8.7,2020,M06
South Dakota,7.2,2020,M06
Tennessee,9.7,2020,M06
Texas,8.6,2020,M06
Utah,5.1,2020,M06
Vermont,9.4,2020,M06
Virginia,8.4,2020,M06
Washington,9.8,2020,M06
West Virginia,10.4,2020,M06
Wisconsin,8.5,2020,M06
Wyoming,7.6,2020,M06
Alabama,7.5,2020,M06
Alaska,12.4,2020,M06
Arizona,10.0,2020,M06
Arkansas,8.0,2020,M06
California,14.9,2020,M06
Colorado,10.5,2020,M06
Connecticut,9.8,2020,M06
Delaware,12.5,2020,M06
District of Columbia,8.6,2020,M06
Florida,10.4,2020,M06
Georgia,7.6,2020,M06
Hawaii,13.9,2020,M06
Idaho,5.6,2020,M06
Illinois,14.6,2020,M06
Indiana,11.2,2020,M06
Iowa,8.0,2020,M06
Kansas,7.5,2020,M06
Kentucky,4.3,2020,M06
Louisiana,9.7,2020,M06
Maine,6.6,2020,M06
Maryland,8.0,2020,M06
Massachusetts,17.4,2020,M06
Michigan,14.8,2020,M06
Minnesota,8.6,2020,M06
Mississippi,8.7,2020,M06
Missouri,7.9,2020,M06
Montana,7.1,2020,M06
Nebraska,6.7,2020,M06
Nevada,15.0,2020,M06
New Hampshire,11.8,2020,M06
New Jersey,16.6,2020,M06
New Mexico,8.3,2020,M06
New York,15.7,2020,M06
North Carolina,7.6,2020,M06
North Dakota,6.1,2020,M06
Ohio,10.9,2020,M06
Oklahoma,6.6,2020,M06
Oregon,11.2,2020,M06
Pennsylvania,13.0,2020,M06
Puerto Rico,-,2020,M06
Rhode Island,12.4,2020,M06
South Carolina,8.7,2020,M06
South Dakota,7.2,2020,M06
Tennessee,9.7,2020,M06
Texas,8.6,2020,M06
Utah,5.1,2020,M06
Vermont,9.4,2020,M06
Virginia,8.4,2020,M06
Washington,9.8,2020,M06
West Virginia,10.4,2020,M06
Wisconsin,8.5,2020,M06
Wyoming,7.6,2020,M06
Alabama,7.5,2020,M06
Alaska,12.4,2020,M06
Arizona,10.0,2020,M06
Arkansas,8.0,2020,M06
California,14.9,2020,M06
Colorado,10.5,2020,M06
Connecticut,9.8,2020,M06
Delaware,12.5,2020,M06
District of Columbia,8.6,2020,M06
Florida,10.4,2020,M06
Georgia,7.6,2020,M06
Hawaii,13.9,2020,M06
Idaho,5.6,2020,M06
Illinois,14.6,2020,M06
Indiana,11.2,2020,M06
Iowa,8.0,2020,M06
Kansas,7.5,2020,M06
Kentucky,4.3,2020,M06
Louisiana,9.7,2020,M06
Maine,6.6,2020,M06
Maryland,8.0,2020,M06
Massachusetts,17.4,2020,M06
Michigan,14.8,2020,M06
Minnesota,8.6,2020,M06
Mississippi,8.7,2020,M06
Missouri,7.9,2020,M06
Montana,7.1,2020,M06
Nebraska,6.7,2020,M06
Nevada,15.0,2020,M06
New Hampshire,11.8,2020,M06
New Jersey,16.6,2020,M06
New Mexico,8.3,2020,M06
New York,15.7,2020,M06
North Carolina,7.6,2020,M06
North Dakota,6.1,2020,M06
Ohio,10.9,2020,M06
Oklahoma,6.6,2020,M06
Oregon,11.2,2020,M06
Pennsylvania,13.0,2020,M06
Puerto Rico,-,2020,M06
Rhode Island,12.4,2020,M06
South Carolina,8.7,2020,M06
South Dakota,7.2,2020,M06
Tennessee,9.7,2020,M06
Texas,8.6,2020,M06
Utah,5.1,2020,M06
Vermont,9.4,2020,M06
Virginia,8.4,2020,M06
Washington,9.8,2020,M06
West Virginia,10.4,2020,M06
Wisconsin,8.5,2020,M06
Wyoming,7.6,2020,M06
Alabama,7.5,2020,M06
Alaska,12.4,2020,M06
Arizona,10.0,2020,M06
Arkansas,8.0,2020,M06
California,14.9,2020,M06
Colorado,10.5,2020,M06
Connecticut,9.8,2020,M06
Delaware,12.5,2020,M06
District of Columbia,8.6,2020,M06
Florida,10.4,2020,M06
Georgia,7.6,2020,M06
Hawaii,13.9,2020,M06
Idaho,5.6,2020,M06
Illinois,14.6,2020,M06
Indiana,11.2,2020,M06
Iowa,8.0,2020,M06
Kansas,7.5,2020,M06
Kentucky,4.3,2020,M06
Louisiana,9.7,2020,M06
Maine,6.6,2020,M06
Maryland,8.0,2020,M06
Massachusetts,17.4,2020,M06
Michigan,14.8,2020,M06
Minnesota,8.6,2020,M06
Mississippi,8.7,2020,M06
Missouri,7.9,2020,M06
Montana,7.1,2020,M06
Nebraska,6.7,2020,M06
Nevada,15.0,2020,M06
New Hampshire,11.8,2020,M06
New Jersey,16.6,2020,M06
New Mexico,8.3,2020,M06
New York,15.7,2020,M06
North Carolina,7.6,2020,M06
North Dakota,6.1,2020,M06
Ohio,10.9,2020,M06
Oklahoma,6.6,2020,M06
Oregon,11.2,2020,M06
Pennsylvania,13.0,2020,M06
Puerto Rico,-,2020,M06
Rhode Island,12.4,2020,M06
South Carolina,8.7,2020,M06
South Dakota,7.2,2020,M06
Tennessee,9.7,2020,M06
Texas,8.6,2020,M06
Utah,5.1,2020,M06
Vermont,9.4,2020,M06
Virginia,8.4,2020,M06
Washington,9.8,2020,M06
West Virginia,10.4,2020,M06
Wisconsin,8.5,2020,M06
Wyoming,7.6,2020,M06
